,Age,Gender,Education_Status,Employment_Status,Working_Week (Yearly),Household_Status,Citizenship,Tax_Status,Gains,Losses,Dividends
27,60,0,773.3871370590072,711.0952068286277,5,806.9424928794249,1,796.7804206309464,0,0,0
29,15,1,693.1542112950341,711.0952068286277,1,382.32666666666665,1,414.2280701754386,0,0,0
30,59,0,773.3871370590072,711.0952068286277,4,806.9424928794249,1,796.7804206309464,1,0,0
31,23,1,773.3871370590072,805.5011764705882,3,806.9424928794249,1,660.7064309306392,0,0,0
32,21,0,773.3871370590072,747.7302481351804,5,569.4171686746988,1,660.7064309306392,0,0,0
33,35,0,693.1542112950341,747.7302481351804,5,806.9424928794249,1,796.7804206309464,1,0,0
34,55,0,693.1542112950341,711.0952068286277,5,806.9424928794249,1,796.7804206309464,0,0,1
36,35,0,773.3871370590072,747.7302481351804,5,728.6656035328754,0,796.7804206309464,0,0,0
37,57,0,773.3871370590072,747.7302481351804,5,806.9424928794249,1,660.7064309306392,0,0,0
38,17,1,693.1542112950341,711.0952068286277,5,642.3239740820734,1,660.7064309306392,0,0,0
40,29,1,773.3871370590072,747.7302481351804,5,728.6656035328754,1,796.7804206309464,0,0,0
42,52,0,693.1542112950341,747.7302481351804,5,806.9424928794249,1,796.7804206309464,0,0,1
43,23,1,693.1542112950341,747.7302481351804,5,569.4171686746988,1,697.4142614601019,0,0,0
44,63,0,693.1542112950341,747.7302481351804,5,806.9424928794249,1,796.7804206309464,0,0,0
46,42,1,773.3871370590072,711.0952068286277,4,728.6656035328754,1,796.7804206309464,0,0,0
47,30,0,693.1542112950341,711.0952068286277,5,806.9424928794249,1,660.7064309306392,0,1,0
48,17,0,693.1542112950341,711.0952068286277,3,382.32666666666665,1,660.7064309306392,0,0,0
49,28,0,773.3871370590072,711.0952068286277,5,806.9424928794249,0,796.7804206309464,0,0,0
50,42,0,773.3871370590072,747.7302481351804,5,806.9424928794249,1,796.7804206309464,1,0,1
51,18,1,773.3871370590072,747.7302481351804,5,569.4171686746988,1,660.7064309306392,0,0,0
52,43,0,693.1542112950341,711.0952068286277,5,806.9424928794249,1,796.7804206309464,0,0,0
53,55,1,693.1542112950341,711.0952068286277,5,728.6656035328754,1,796.7804206309464,0,0,0
54,22,1,773.3871370590072,747.7302481351804,2,569.4171686746988,1,660.7064309306392,0,0,0
57,53,1,693.1542112950341,711.0952068286277,3,806.9424928794249,1,660.7064309306392,0,0,0
58,46,1,773.3871370590072,747.7302481351804,5,806.9424928794249,1,660.7064309306392,0,0,0
60,19,1,773.3871370590072,711.0952068286277,3,642.3239740820734,1,660.7064309306392,0,0,0
61,48,1,693.1542112950341,747.7302481351804,5,728.6656035328754,1,796.7804206309464,0,0,0
63,27,1,693.1542112950341,711.0952068286277,5,728.6656035328754,1,796.7804206309464,0,0,0
64,38,1,773.3871370590072,747.7302481351804,4,806.9424928794249,1,697.4142614601019,0,0,0
65,50,0,773.3871370590072,711.0952068286277,5,806.9424928794249,1,660.7064309306392,0,0,0
66,35,0,773.3871370590072,711.0952068286277,5,806.9424928794249,1,796.7804206309464,0,0,1
67,28,1,693.1542112950341,747.7302481351804,5,569.4171686746988,1,660.7064309306392,0,0,0
68,38,1,693.1542112950341,747.7302481351804,5,728.6656035328754,1,796.7804206309464,0,0,0
69,26,0,693.1542112950341,747.7302481351804,5,806.9424928794249,0,697.4142614601019,0,0,0
70,27,1,773.3871370590072,747.7302481351804,5,569.4171686746988,1,660.7064309306392,0,1,0
72,34,0,773.3871370590072,747.7302481351804,4,728.6656035328754,1,796.7804206309464,0,0,0
73,31,1,773.3871370590072,805.5011764705882,5,728.6656035328754,1,796.7804206309464,0,0,0
74,36,1,693.1542112950341,711.0952068286277,5,728.6656035328754,1,796.7804206309464,0,0,0
76,47,1,693.1542112950341,747.7302481351804,5,806.9424928794249,0,796.7804206309464,0,0,0
77,25,0,693.1542112950341,711.0952068286277,5,642.3239740820734,1,660.7064309306392,0,0,0
78,41,1,693.1542112950341,711.0952068286277,5,728.6656035328754,1,796.7804206309464,0,0,0
79,19,0,693.1542112950341,711.0952068286277,4,569.4171686746988,1,660.7064309306392,0,0,0
81,64,0,693.1542112950341,711.0952068286277,5,806.9424928794249,1,660.7064309306392,0,0,1
82,44,0,773.3871370590072,711.0952068286277,5,806.9424928794249,1,796.7804206309464,0,0,1
83,27,1,693.1542112950341,711.0952068286277,1,728.6656035328754,1,796.7804206309464,0,0,0
84,52,0,693.1542112950341,747.7302481351804,5,806.9424928794249,1,796.7804206309464,1,0,0
85,22,0,773.3871370590072,747.7302481351804,4,569.4171686746988,1,660.7064309306392,0,0,0
87,25,0,693.1542112950341,711.0952068286277,5,806.9424928794249,1,796.7804206309464,0,0,0
88,52,0,693.1542112950341,747.7302481351804,5,806.9424928794249,0,796.7804206309464,0,0,0
89,15,1,693.1542112950341,711.0952068286277,1,382.32666666666665,1,414.2280701754386,0,0,0
90,41,0,693.1542112950341,711.0952068286277,5,806.9424928794249,1,796.7804206309464,0,0,1
91,35,0,679.3261231281198,747.7302481351804,5,806.9424928794249,1,796.7804206309464,0,0,1
92,49,0,773.3871370590072,805.5011764705882,5,806.9424928794249,1,796.7804206309464,1,0,1
94,27,0,773.3871370590072,711.0952068286277,4,806.9424928794249,1,796.7804206309464,0,1,0
95,21,0,693.1542112950341,711.0952068286277,5,806.9424928794249,0,796.7804206309464,0,0,0
96,26,1,679.3261231281198,711.0952068286277,5,728.6656035328754,1,796.7804206309464,0,0,0
97,29,1,773.3871370590072,747.7302481351804,5,728.6656035328754,1,796.7804206309464,0,0,0
98,52,0,693.1542112950341,805.5011764705882,4,806.9424928794249,1,796.7804206309464,0,0,0
101,30,1,773.3871370590072,711.0952068286277,4,806.9424928794249,1,697.4142614601019,0,0,0
104,51,0,773.3871370590072,711.0952068286277,3,806.9424928794249,1,796.7804206309464,0,0,0
105,29,0,693.1542112950341,747.7302481351804,3,806.9424928794249,0,697.4142614601019,0,0,0
107,18,1,693.1542112950341,711.0952068286277,1,569.4171686746988,1,660.7064309306392,0,0,0
108,61,0,693.1542112950341,711.0952068286277,5,806.9424928794249,1,796.7804206309464,0,0,0
109,45,0,679.3261231281198,747.7302481351804,4,806.9424928794249,1,796.7804206309464,0,0,0
110,43,1,693.1542112950341,711.0952068286277,5,728.6656035328754,0,796.7804206309464,0,0,0
111,45,1,773.3871370590072,747.7302481351804,4,728.6656035328754,1,796.7804206309464,0,0,1
112,28,1,773.3871370590072,747.7302481351804,5,728.6656035328754,1,796.7804206309464,0,0,0
113,33,1,693.1542112950341,711.0952068286277,5,728.6656035328754,1,796.7804206309464,0,0,0
115,37,0,693.1542112950341,711.0952068286277,4,728.6656035328754,0,796.7804206309464,0,0,0
116,54,0,693.1542112950341,747.7302481351804,5,806.9424928794249,1,660.7064309306392,0,0,0
117,46,1,773.3871370590072,711.0952068286277,5,728.6656035328754,0,796.7804206309464,0,0,0
121,48,1,773.3871370590072,747.7302481351804,5,728.6656035328754,1,796.7804206309464,0,0,0
123,80,1,693.1542112950341,711.0952068286277,5,642.3239740820734,1,660.7064309306392,0,0,0
124,25,1,773.3871370590072,747.7302481351804,4,618.0247933884298,1,697.4142614601019,0,0,0
125,51,1,773.3871370590072,747.7302481351804,5,728.6656035328754,0,796.7804206309464,0,0,0
126,32,1,773.3871370590072,711.0952068286277,5,728.6656035328754,1,796.7804206309464,0,0,0
127,16,1,693.1542112950341,711.0952068286277,2,382.32666666666665,1,414.2280701754386,0,0,0
128,24,1,773.3871370590072,747.7302481351804,5,642.3239740820734,1,660.7064309306392,0,0,0
129,24,0,693.1542112950341,747.7302481351804,5,806.9424928794249,0,697.4142614601019,0,0,0
130,33,1,693.1542112950341,711.0952068286277,5,728.6656035328754,0,796.7804206309464,0,0,0
132,37,1,693.1542112950341,711.0952068286277,5,728.6656035328754,1,796.7804206309464,0,0,0
136,21,0,693.1542112950341,711.0952068286277,4,728.6656035328754,1,796.7804206309464,0,0,0
137,59,0,693.1542112950341,711.0952068286277,3,728.6656035328754,1,796.7804206309464,0,0,0
138,35,0,679.3261231281198,711.0952068286277,5,806.9424928794249,1,660.7064309306392,0,0,0
139,36,0,773.3871370590072,747.7302481351804,5,806.9424928794249,0,796.7804206309464,0,1,0
141,44,1,693.1542112950341,747.7302481351804,5,728.6656035328754,1,796.7804206309464,0,0,0
143,26,0,773.3871370590072,711.0952068286277,5,569.4171686746988,1,660.7064309306392,0,0,0
145,44,1,679.3261231281198,711.0952068286277,5,728.6656035328754,0,796.7804206309464,0,0,0
146,35,1,693.1542112950341,747.7302481351804,3,728.6656035328754,1,796.7804206309464,0,0,0
147,35,0,773.3871370590072,711.0952068286277,5,806.9424928794249,1,796.7804206309464,0,0,1
149,30,0,773.3871370590072,711.0952068286277,5,806.9424928794249,1,796.7804206309464,0,0,1
150,44,1,773.3871370590072,747.7302481351804,5,806.9424928794249,1,697.4142614601019,0,0,0
151,30,1,773.3871370590072,747.7302481351804,5,806.9424928794249,1,660.7064309306392,0,0,1
152,48,0,693.1542112950341,711.0952068286277,5,806.9424928794249,1,796.7804206309464,0,0,0
153,38,0,693.1542112950341,711.0952068286277,5,806.9424928794249,1,660.7064309306392,0,0,0
154,61,0,693.1542112950341,711.0952068286277,4,806.9424928794249,1,796.7804206309464,0,0,0
156,21,1,693.1542112950341,711.0952068286277,0,618.0247933884298,1,414.2280701754386,0,0,0
158,59,0,693.1542112950341,805.5011764705882,1,806.9424928794249,1,796.7804206309464,0,0,0
159,33,1,693.1542112950341,747.7302481351804,5,728.6656035328754,1,796.7804206309464,0,0,0
160,33,1,693.1542112950341,747.7302481351804,1,618.0247933884298,1,414.2280701754386,0,0,0
161,32,1,679.3261231281198,805.5011764705882,5,728.6656035328754,1,796.7804206309464,0,0,0
162,27,1,693.1542112950341,747.7302481351804,3,618.0247933884298,1,660.7064309306392,0,0,0
164,29,0,773.3871370590072,747.7302481351804,5,806.9424928794249,1,796.7804206309464,0,0,0
167,27,1,773.3871370590072,711.0952068286277,5,728.6656035328754,1,796.7804206309464,0,0,0
169,27,1,693.1542112950341,747.7302481351804,0,806.9424928794249,1,414.2280701754386,0,0,0
170,54,1,693.1542112950341,747.7302481351804,5,728.6656035328754,1,796.7804206309464,0,0,0
171,24,1,773.3871370590072,747.7302481351804,4,806.9424928794249,1,660.7064309306392,0,0,0
173,67,1,693.1542112950341,747.7302481351804,5,728.6656035328754,1,664.4714790224112,0,0,0
174,35,1,773.3871370590072,805.5011764705882,5,806.9424928794249,1,660.7064309306392,0,0,0
175,23,0,773.3871370590072,711.0952068286277,5,569.4171686746988,1,660.7064309306392,0,0,0
176,15,1,693.1542112950341,711.0952068286277,3,382.32666666666665,1,414.2280701754386,0,0,0
177,62,0,693.1542112950341,805.5011764705882,5,806.9424928794249,1,660.7064309306392,0,0,0
178,33,0,679.3261231281198,711.0952068286277,5,806.9424928794249,1,796.7804206309464,0,0,1
179,50,1,693.1542112950341,711.0952068286277,1,806.9424928794249,1,796.7804206309464,0,0,0
181,49,0,773.3871370590072,747.7302481351804,5,806.9424928794249,1,796.7804206309464,1,0,0
183,58,0,679.3261231281198,711.0952068286277,5,806.9424928794249,1,796.7804206309464,0,0,1
184,30,0,693.1542112950341,711.0952068286277,5,806.9424928794249,1,796.7804206309464,0,0,0
185,41,0,773.3871370590072,711.0952068286277,5,806.9424928794249,1,796.7804206309464,0,0,1
186,35,1,693.1542112950341,747.7302481351804,5,806.9424928794249,1,660.7064309306392,0,0,0
187,16,1,693.1542112950341,711.0952068286277,2,382.32666666666665,1,660.7064309306392,0,0,0
188,48,0,773.3871370590072,711.0952068286277,3,806.9424928794249,1,796.7804206309464,0,0,1
189,44,1,693.1542112950341,711.0952068286277,5,728.6656035328754,1,796.7804206309464,0,0,0
190,36,1,693.1542112950341,711.0952068286277,5,728.6656035328754,1,796.7804206309464,0,0,0
192,36,1,693.1542112950341,747.7302481351804,2,728.6656035328754,1,796.7804206309464,0,0,0
193,43,1,679.3261231281198,747.7302481351804,2,569.4171686746988,1,697.4142614601019,0,0,0
194,51,0,693.1542112950341,805.5011764705882,5,806.9424928794249,1,796.7804206309464,0,0,0
196,72,0,679.3261231281198,711.0952068286277,4,806.9424928794249,1,660.7064309306392,0,1,1
200,26,0,773.3871370590072,747.7302481351804,5,618.0247933884298,1,660.7064309306392,0,0,0
201,32,0,773.3871370590072,747.7302481351804,5,569.4171686746988,1,660.7064309306392,0,0,0
202,45,1,693.1542112950341,747.7302481351804,5,806.9424928794249,1,697.4142614601019,0,0,0
204,47,1,679.3261231281198,711.0952068286277,5,806.9424928794249,0,660.7064309306392,0,0,0
205,47,1,693.1542112950341,711.0952068286277,5,806.9424928794249,1,697.4142614601019,0,0,0
206,42,0,693.1542112950341,747.7302481351804,5,806.9424928794249,1,796.7804206309464,0,0,0
208,76,0,773.3871370590072,711.0952068286277,4,806.9424928794249,1,664.4714790224112,1,0,1
209,58,0,693.1542112950341,711.0952068286277,5,806.9424928794249,1,660.7064309306392,0,0,0
210,32,0,693.1542112950341,711.0952068286277,5,806.9424928794249,1,796.7804206309464,0,0,0
211,28,0,693.1542112950341,711.0952068286277,5,806.9424928794249,1,796.7804206309464,0,0,0
212,17,0,693.1542112950341,747.7302481351804,0,382.32666666666665,1,414.2280701754386,0,0,1
213,25,0,773.3871370590072,747.7302481351804,5,806.9424928794249,1,796.7804206309464,1,0,0
214,54,0,773.3871370590072,711.0952068286277,5,806.9424928794249,1,660.7064309306392,0,0,0
215,29,1,773.3871370590072,747.7302481351804,5,806.9424928794249,1,660.7064309306392,0,0,0
216,36,0,693.1542112950341,747.7302481351804,5,728.6656035328754,1,796.7804206309464,0,0,0
218,29,0,693.1542112950341,711.0952068286277,5,806.9424928794249,1,796.7804206309464,0,0,0
219,24,0,773.3871370590072,747.7302481351804,3,569.4171686746988,1,660.7064309306392,0,0,0
220,48,0,773.3871370590072,747.7302481351804,5,806.9424928794249,1,796.7804206309464,0,1,0
222,46,1,773.3871370590072,805.5011764705882,2,728.6656035328754,1,796.7804206309464,0,0,0
223,25,1,693.1542112950341,711.0952068286277,5,728.6656035328754,1,796.7804206309464,0,0,0
224,40,1,773.3871370590072,747.7302481351804,5,806.9424928794249,0,796.7804206309464,0,0,0
225,40,1,693.1542112950341,711.0952068286277,5,806.9424928794249,1,697.4142614601019,0,0,0
226,28,1,773.3871370590072,747.7302481351804,5,806.9424928794249,1,660.7064309306392,0,0,0
227,31,0,693.1542112950341,711.0952068286277,5,806.9424928794249,1,796.7804206309464,0,0,0
228,21,0,773.3871370590072,747.7302481351804,5,569.4171686746988,1,660.7064309306392,0,0,0
229,31,0,693.1542112950341,747.7302481351804,5,569.4171686746988,1,660.7064309306392,1,0,0
230,32,1,693.1542112950341,805.5011764705882,5,728.6656035328754,1,796.7804206309464,0,0,0
231,28,1,693.1542112950341,747.7302481351804,5,728.6656035328754,1,796.7804206309464,0,0,0
232,60,1,773.3871370590072,711.0952068286277,5,728.6656035328754,1,707.1732675661159,0,0,0
233,37,0,693.1542112950341,711.0952068286277,2,806.9424928794249,1,796.7804206309464,0,0,0
234,21,1,773.3871370590072,747.7302481351804,5,569.4171686746988,1,660.7064309306392,0,0,0
235,46,0,773.3871370590072,747.7302481351804,5,728.6656035328754,0,796.7804206309464,0,0,1
236,34,1,693.1542112950341,747.7302481351804,5,728.6656035328754,1,796.7804206309464,0,0,0
237,17,0,693.1542112950341,711.0952068286277,4,382.32666666666665,1,660.7064309306392,0,0,0
239,52,1,773.3871370590072,711.0952068286277,2,728.6656035328754,1,796.7804206309464,0,0,1
240,37,1,773.3871370590072,711.0952068286277,5,728.6656035328754,1,796.7804206309464,0,0,1
241,57,0,693.1542112950341,711.0952068286277,5,806.9424928794249,1,660.7064309306392,0,0,0
242,33,0,693.1542112950341,711.0952068286277,0,806.9424928794249,1,414.2280701754386,0,0,0
245,38,1,773.3871370590072,711.0952068286277,5,728.6656035328754,1,796.7804206309464,0,0,0
246,31,0,773.3871370590072,711.0952068286277,5,806.9424928794249,1,796.7804206309464,0,0,1
250,28,0,693.1542112950341,711.0952068286277,4,569.4171686746988,1,660.7064309306392,0,0,0
251,25,0,693.1542112950341,711.0952068286277,3,569.4171686746988,1,660.7064309306392,0,0,0
253,34,1,693.1542112950341,747.7302481351804,5,728.6656035328754,1,796.7804206309464,0,0,0
254,24,0,693.1542112950341,747.7302481351804,5,618.0247933884298,1,660.7064309306392,0,0,0
255,18,1,693.1542112950341,711.0952068286277,3,569.4171686746988,1,660.7064309306392,0,0,0
256,53,0,693.1542112950341,747.7302481351804,5,806.9424928794249,1,796.7804206309464,0,0,0
257,31,1,693.1542112950341,711.0952068286277,5,806.9424928794249,1,697.4142614601019,0,0,0
258,49,1,679.3261231281198,711.0952068286277,3,806.9424928794249,1,697.4142614601019,0,0,1
259,49,0,773.3871370590072,711.0952068286277,5,642.3239740820734,0,660.7064309306392,0,0,0
260,30,1,773.3871370590072,711.0952068286277,5,806.9424928794249,1,697.4142614601019,0,0,0
261,28,1,773.3871370590072,747.7302481351804,5,728.6656035328754,1,796.7804206309464,0,0,0
262,54,1,693.1542112950341,711.0952068286277,0,728.6656035328754,1,796.7804206309464,0,0,0
263,44,1,693.1542112950341,711.0952068286277,5,728.6656035328754,1,796.7804206309464,0,0,0
264,26,1,693.1542112950341,805.5011764705882,5,806.9424928794249,1,660.7064309306392,0,0,0
265,26,1,773.3871370590072,747.7302481351804,5,728.6656035328754,1,796.7804206309464,0,0,0
266,18,0,693.1542112950341,711.0952068286277,1,569.4171686746988,1,660.7064309306392,0,0,0
267,27,1,693.1542112950341,711.0952068286277,5,728.6656035328754,1,796.7804206309464,0,0,0
268,24,1,693.1542112950341,243.60848769649283,0,569.4171686746988,1,414.2280701754386,0,0,0
269,43,1,693.1542112950341,747.7302481351804,2,806.9424928794249,1,697.4142614601019,0,0,0
270,36,0,693.1542112950341,711.0952068286277,5,806.9424928794249,1,660.7064309306392,0,0,0
271,37,1,693.1542112950341,747.7302481351804,5,728.6656035328754,0,796.7804206309464,0,0,1
272,40,1,773.3871370590072,747.7302481351804,5,618.0247933884298,1,660.7064309306392,1,0,0
273,23,0,773.3871370590072,711.0952068286277,2,806.9424928794249,1,796.7804206309464,0,0,1
275,32,0,679.3261231281198,805.5011764705882,5,806.9424928794249,1,796.7804206309464,0,0,0
276,58,0,773.3871370590072,711.0952068286277,1,806.9424928794249,1,660.7064309306392,0,0,1
277,43,0,773.3871370590072,711.0952068286277,5,806.9424928794249,1,796.7804206309464,0,0,1
279,42,1,693.1542112950341,747.7302481351804,2,728.6656035328754,1,796.7804206309464,0,0,0
280,24,0,773.3871370590072,747.7302481351804,5,806.9424928794249,1,660.7064309306392,0,0,1
283,26,1,693.1542112950341,711.0952068286277,4,806.9424928794249,0,697.4142614601019,0,0,0
284,47,0,693.1542112950341,747.7302481351804,5,806.9424928794249,1,796.7804206309464,0,0,0
285,47,1,693.1542112950341,747.7302481351804,4,728.6656035328754,1,796.7804206309464,0,0,0
291,18,0,693.1542112950341,711.0952068286277,3,618.0247933884298,1,660.7064309306392,0,0,0
293,56,0,773.3871370590072,747.7302481351804,5,728.6656035328754,1,796.7804206309464,0,0,0
295,43,0,693.1542112950341,711.0952068286277,5,806.9424928794249,1,796.7804206309464,0,0,0
296,20,0,693.1542112950341,805.5011764705882,1,569.4171686746988,1,414.2280701754386,0,0,0
297,28,0,773.3871370590072,747.7302481351804,2,618.0247933884298,1,660.7064309306392,0,1,0
299,54,1,693.1542112950341,711.0952068286277,4,728.6656035328754,1,796.7804206309464,0,0,0
301,29,1,693.1542112950341,747.7302481351804,5,806.9424928794249,1,697.4142614601019,0,0,0
302,27,0,693.1542112950341,747.7302481351804,5,569.4171686746988,1,660.7064309306392,0,0,0
304,55,1,773.3871370590072,711.0952068286277,3,806.9424928794249,1,660.7064309306392,0,0,0
305,39,0,693.1542112950341,711.0952068286277,5,806.9424928794249,0,796.7804206309464,0,0,0
306,43,1,693.1542112950341,711.0952068286277,5,806.9424928794249,1,796.7804206309464,0,0,0
307,33,1,773.3871370590072,711.0952068286277,5,728.6656035328754,1,796.7804206309464,0,0,0
308,45,1,773.3871370590072,747.7302481351804,5,728.6656035328754,1,796.7804206309464,0,0,1
309,45,0,693.1542112950341,747.7302481351804,5,806.9424928794249,0,796.7804206309464,0,0,0
310,57,1,693.1542112950341,711.0952068286277,5,728.6656035328754,1,796.7804206309464,0,0,0
311,20,0,693.1542112950341,711.0952068286277,3,642.3239740820734,1,660.7064309306392,0,0,0
312,62,0,679.3261231281198,747.7302481351804,5,806.9424928794249,1,796.7804206309464,0,0,1
313,46,1,773.3871370590072,747.7302481351804,5,806.9424928794249,1,697.4142614601019,0,0,1
315,37,1,693.1542112950341,747.7302481351804,5,806.9424928794249,0,697.4142614601019,0,0,0
316,27,1,693.1542112950341,747.7302481351804,5,728.6656035328754,1,796.7804206309464,0,0,0
317,27,0,693.1542112950341,711.0952068286277,5,806.9424928794249,1,796.7804206309464,0,0,0
319,60,1,693.1542112950341,747.7302481351804,5,806.9424928794249,1,660.7064309306392,0,0,0
320,29,0,693.1542112950341,747.7302481351804,4,806.9424928794249,1,796.7804206309464,0,0,0
321,25,1,693.1542112950341,711.0952068286277,5,728.6656035328754,1,796.7804206309464,0,0,0
322,42,0,693.1542112950341,711.0952068286277,5,806.9424928794249,0,796.7804206309464,0,0,0
323,43,0,693.1542112950341,747.7302481351804,5,728.6656035328754,1,796.7804206309464,0,0,0
324,25,1,773.3871370590072,711.0952068286277,4,728.6656035328754,1,796.7804206309464,0,0,0
327,24,1,773.3871370590072,747.7302481351804,5,618.0247933884298,1,660.7064309306392,0,0,0
329,27,0,693.1542112950341,805.5011764705882,4,806.9424928794249,1,796.7804206309464,1,0,0
330,42,0,679.3261231281198,747.7302481351804,5,806.9424928794249,1,414.2280701754386,0,0,0
331,34,0,773.3871370590072,747.7302481351804,5,806.9424928794249,1,660.7064309306392,0,1,0
332,48,1,693.1542112950341,711.0952068286277,5,806.9424928794249,1,697.4142614601019,0,0,0
333,21,0,773.3871370590072,711.0952068286277,0,569.4171686746988,1,414.2280701754386,0,0,0
334,23,1,693.1542112950341,747.7302481351804,5,618.0247933884298,1,660.7064309306392,0,0,0
336,35,1,773.3871370590072,747.7302481351804,5,728.6656035328754,1,796.7804206309464,0,0,0
337,36,0,693.1542112950341,711.0952068286277,5,806.9424928794249,1,796.7804206309464,0,0,0
338,31,0,773.3871370590072,711.0952068286277,4,806.9424928794249,1,796.7804206309464,0,0,0
339,34,1,693.1542112950341,711.0952068286277,5,806.9424928794249,1,697.4142614601019,0,0,0
341,20,1,693.1542112950341,747.7302481351804,3,569.4171686746988,1,660.7064309306392,0,0,0
342,47,0,773.3871370590072,711.0952068286277,3,728.6656035328754,1,796.7804206309464,0,0,1
343,43,1,693.1542112950341,711.0952068286277,5,728.6656035328754,1,796.7804206309464,0,0,0
344,26,0,773.3871370590072,243.60848769649283,3,728.6656035328754,1,796.7804206309464,0,0,1
345,47,1,693.1542112950341,747.7302481351804,5,728.6656035328754,1,796.7804206309464,0,0,0
346,46,0,773.3871370590072,711.0952068286277,5,806.9424928794249,1,796.7804206309464,0,0,0
347,46,0,679.3261231281198,711.0952068286277,5,806.9424928794249,1,796.7804206309464,0,0,1
348,21,0,773.3871370590072,711.0952068286277,5,569.4171686746988,1,660.7064309306392,0,0,0
349,35,0,773.3871370590072,747.7302481351804,5,806.9424928794249,1,796.7804206309464,0,0,0
350,47,0,693.1542112950341,711.0952068286277,4,806.9424928794249,0,796.7804206309464,0,0,0
352,49,0,773.3871370590072,805.5011764705882,5,806.9424928794249,1,660.7064309306392,0,0,1
355,51,1,693.1542112950341,711.0952068286277,4,728.6656035328754,1,796.7804206309464,0,0,0
356,19,0,693.1542112950341,711.0952068286277,2,569.4171686746988,1,660.7064309306392,0,0,0
357,66,1,693.1542112950341,711.0952068286277,5,806.9424928794249,1,660.7064309306392,0,0,0
359,28,1,693.1542112950341,805.5011764705882,0,806.9424928794249,1,414.2280701754386,0,0,0
360,26,0,773.3871370590072,747.7302481351804,5,806.9424928794249,1,796.7804206309464,0,0,0
361,53,0,693.1542112950341,711.0952068286277,5,806.9424928794249,1,796.7804206309464,0,0,0
362,21,0,693.1542112950341,747.7302481351804,4,569.4171686746988,1,660.7064309306392,0,0,0
363,46,1,773.3871370590072,711.0952068286277,5,728.6656035328754,1,796.7804206309464,0,0,0
364,44,1,773.3871370590072,747.7302481351804,5,806.9424928794249,1,697.4142614601019,0,0,1
366,23,1,773.3871370590072,711.0952068286277,5,569.4171686746988,1,660.7064309306392,0,0,0
368,17,1,693.1542112950341,711.0952068286277,1,382.32666666666665,1,660.7064309306392,0,0,0
369,64,0,773.3871370590072,747.7302481351804,5,806.9424928794249,1,796.7804206309464,0,0,0
370,33,1,773.3871370590072,711.0952068286277,5,806.9424928794249,1,697.4142614601019,0,0,0
371,62,0,693.1542112950341,711.0952068286277,5,806.9424928794249,1,796.7804206309464,0,0,0
372,38,0,693.1542112950341,747.7302481351804,5,806.9424928794249,1,796.7804206309464,0,0,0
374,31,1,693.1542112950341,711.0952068286277,5,618.0247933884298,1,697.4142614601019,0,0,0
375,41,1,679.3261231281198,711.0952068286277,4,728.6656035328754,1,796.7804206309464,0,0,0
376,56,0,693.1542112950341,711.0952068286277,5,806.9424928794249,1,796.7804206309464,0,0,0
377,38,0,693.1542112950341,711.0952068286277,4,806.9424928794249,1,796.7804206309464,0,0,0
378,47,1,773.3871370590072,805.5011764705882,5,806.9424928794249,1,660.7064309306392,0,0,1
379,25,0,773.3871370590072,711.0952068286277,5,806.9424928794249,1,660.7064309306392,0,0,0
380,29,0,773.3871370590072,747.7302481351804,5,806.9424928794249,1,796.7804206309464,1,0,0
