,Income
819,1400
820,0
821,425
822,1100
823,0
824,1400
825,0
826,0
827,0
828,1000
829,650
830,510
831,0
832,1585
833,990
834,0
835,974
836,645
837,0
838,0
839,0
840,500
841,0
842,575
843,0
844,600
845,570
846,0
847,638
848,0
849,475
850,1000
851,1600
852,500
853,650
854,0
855,600
856,1250
857,0
858,0
859,700
860,0
861,0
862,600
863,0
864,0
865,0
866,0
867,635
868,880
869,800
870,650
871,0
872,875
873,0
874,820
875,785
876,568
877,1000
878,600
879,500
880,500
881,0
882,1501
883,900
884,1700
885,0
886,0
887,900
888,0
889,630
890,0
891,800
892,0
893,866
894,1500
895,0
896,500
897,1035
898,0
899,0
900,0
901,0
902,0
903,600
904,1733
905,560
906,0
907,550
908,700
909,1300
910,800
911,0
912,0
913,0
914,0
915,2480
916,800
917,750
918,658
919,500
920,0
921,690
922,0
923,728
924,0
925,0
926,0
927,0
928,0
929,897
930,1000
931,800
932,1300
933,1025
934,900
935,0
936,0
937,0
938,0
939,2747
940,500
941,0
942,1000
943,3400
944,1910
945,1080
946,0
947,550
948,1637
949,1300
950,0
951,0
952,400
953,1125
954,600
955,0
956,470
957,0
958,0
959,0
960,1200
961,0
962,500
963,0
964,0
965,0
966,1025
967,400
968,0
969,1300
970,1784
971,0
972,1783
973,3000
974,630
975,0
976,0
977,0
978,1568
979,0
980,0
981,0
982,0
983,0
984,0
985,0
986,1000
987,900
988,0
989,550
990,500
991,1350
992,9800
993,0
994,700
995,0
996,0
997,700
998,0
999,850
1000,600
1001,0
1002,0
1003,1500
1004,600
1005,700
1006,536
1007,0
1008,500
1009,1500
1010,450
1011,0
1012,3750
1013,0
1014,650
1015,750
1016,0
1017,0
1018,1300
1019,0
1020,0
1021,1500
1022,900
1023,785
1024,0
1025,900
1026,0
1027,0
1028,1450
1029,0
1030,0
1031,0
1032,0
1033,0
1034,825
1035,900
1036,1200
1037,525
1038,600
1039,0
1040,935
1041,1300
1042,950
1043,0
1044,1016
1045,600
1046,600
1047,0
1048,0
1049,0
1050,1100
1051,800
1052,0
1053,475
1054,1300
1055,0
1056,1125
1057,673
1058,0
1059,0
1060,327
1061,0
1062,0
1063,1300
1064,700
1065,0
1066,425
1067,0
1068,0
1069,0
1070,0
1071,925
1072,0
1073,0
1074,1600
1075,0
1076,0
1077,1500
1078,0
1079,750
1080,1300
1081,1880
1082,600
1083,0
1084,600
1085,0
1086,0
1087,0
1088,700
1089,0
1090,0
1091,0
1092,750
1093,500
1094,425
1095,500
1096,0
1097,1051
1098,0
1099,1523
1100,0
1101,0
1102,690
1103,0
1104,700
1105,850
1106,600
1107,0
1108,0
1109,600
1110,0
1111,0
1112,0
1113,1000
1114,500
1115,700
1116,0
1117,0
1118,0
1119,425
1120,900
1121,0
1122,0
1123,1000
1124,525
1125,0
1126,0
1127,425
1128,0
1129,600
1130,0
1131,0
1132,0
1133,1700
1134,1800
1135,832
1136,1450
1137,0
1138,0
1139,0
1140,700
1141,500
1142,900
1143,1813
1144,400
1145,0
1146,0
1147,1675
1148,7000
1149,770
1150,0
1151,0
1152,0
1153,0
1154,990
1155,425
1156,0
1157,550
1158,1371
1159,0
1160,0
1161,1930
1162,0
1163,800
1164,600
1165,0
1166,0
1167,1000
1168,0
1169,0
1170,2000
1171,500
1172,765
1173,0
1174,0
1175,465
1176,425
1177,400
1178,784
1179,1090
1180,0
1181,0
1182,0
1183,0
1184,0
1185,100
1186,1513
1187,900
1188,0
1189,0
1190,0
1191,1120
1192,0
1193,0
1194,892
1195,0
1196,0
1197,0
1198,0
1199,500
1200,811
1201,2500
1202,1425
1203,1800
1204,1570
1205,0
1206,0
1207,0
1208,0
1209,700
1210,825
1211,1250
1212,600
1213,0
1214,500
1215,0
1216,425
1217,953
1218,965
1219,650
1220,1650
1221,0
1222,0
1223,778
1224,740
1225,0
1226,0
1227,450
1228,0
1229,0
1230,0
1231,75
1232,0
1233,1500
1234,0
1235,850
1237,547
1238,0
1239,0
1240,710
1241,900
1242,250
1243,600
1244,585
1245,0
1246,1900
1247,0
1248,0
1249,425
1250,0
1251,0
1252,1050
1253,500
1254,1386
1255,1200
1256,0
1257,1200
1258,800
1259,0
1260,700
1261,610
1262,497
1263,500
1264,1490
1265,0
1266,0
1267,0
1268,900
1269,2100
1270,0
1271,877
1272,600
1273,525
1274,460
1275,420
1276,650
1277,1774
1278,900
1279,0
1280,0
1281,950
1282,1865
1283,465
1284,0
1285,900
1286,1050
1287,425
1288,0
1289,0
1290,0
1291,2000
1292,2000
1294,0
1295,800
1296,585
1297,525
1298,0
1299,1592
1300,1200
1301,630
1302,0
1303,445
1304,0
1305,0
1306,1500
1307,0
1308,0
1309,0
1310,650
1311,0
1312,640
1313,700
1314,0
1315,0
1316,0
1317,0
1318,475
1319,500
1320,1800
1321,0
1322,0
1323,0
1324,500
1325,610
1326,950
1327,0
1328,850
1329,800
1330,450
1331,2510
1332,1050
1333,0
1334,1250
1335,0
1336,800
1337,0
1339,1700
1340,0
1341,425
1342,600
1343,750
1344,0
1345,900
1346,0
1347,750
1348,0
1349,0
1350,0
1351,750
1352,600
1353,0
1354,550
1355,500
1356,1494
1357,0
1358,0
1359,465
1360,0
1361,525
1362,450
1363,0
1364,916
1365,965
1366,1400
1367,450
1368,0
1369,650
1370,1130
1371,425
1372,0
1373,1195
1374,0
1375,0
1376,0
1377,0
1378,0
1379,0
1380,1000
1381,700
1382,0
1383,0
1384,0
1385,550
1386,450
1387,1025
1388,1100
1389,435
1390,0
1391,650
1392,1100
1393,0
1394,1200
1395,0
1396,500
1397,0
1398,1300
1399,640
1400,1100
1401,1000
1402,0
1403,822
1404,1500
1405,475
1406,1235
1407,2188
1408,600
1409,0
1410,545
1411,0
1412,0
1413,0
1414,300
1415,600
1416,500
1417,1900
1418,0
1419,0
1420,1050
1421,0
1422,0
1423,700
1424,0
1425,0
1426,0
1427,0
1428,500
1429,425
1430,0
1431,0
1432,700
1433,0
1434,0
1435,760
1436,0
1437,1500
1438,1758
1439,0
1440,1400
1441,0
1442,0
1443,0
1444,425
1445,450
1446,1025
1447,575
1448,0
1449,0
1450,0
1451,500
1452,475
1453,0
1454,732
1455,425
1456,0
1457,1500
1458,0
1459,1995
1460,0
1461,500
1462,0
1463,2538
1464,0
1465,0
1466,0
1467,500
1468,0
1469,0
1470,0
1471,700
1472,0
1473,709
1474,1900
1475,0
1476,0
1477,575
1478,750
1479,600
1480,585
1481,1617
1482,525
1483,975
1484,0
1485,0
1486,0
1487,1680
1488,700
1489,0
1490,0
1491,0
1492,0
1493,1484
1494,825
1495,1488
1496,455
1497,1400
1498,0
1499,1000
1500,750
1501,0
1502,1100
1503,900
1504,0
1505,0
1506,540
1507,500
1508,0
1509,575
1510,0
1511,1300
1512,0
1513,0
1514,0
1515,900
1516,1300
1517,0
1518,0
1519,0
1520,0
1521,490
1522,1500
1523,400
1524,0
1525,0
1526,1025
1527,0
1528,400
1529,715
1530,635
1531,0
1532,450
1533,0
1534,0
1535,0
1536,0
1537,0
1538,445
1539,700
1540,425
1541,600
1542,0
1543,500
1544,0
1545,0
1546,950
1547,890
1548,0
1549,0
1550,0
1551,2300
1552,0
1553,0
1554,0
1555,650
1556,0
1557,0
1558,2375
1559,1721
1560,2540
1561,2650
1562,2300
1563,0
1564,0
1565,0
1566,600
1567,800
1568,0
1569,677
1570,600
1571,0
1572,465
1573,500
1574,0
1575,1550
1576,700
1577,500
1578,500
1579,800
1580,0
1581,0
1582,0
1583,0
1584,0
1585,0
1586,0
1587,0
1588,0
1589,1634
1590,0
1591,0
1592,550
1593,500
1594,800
1595,0
1596,0
1597,675
1598,0
1599,425
1600,600
1601,0
1602,1000
1603,1572
1604,1200
1605,900
1606,500
1607,1575
1608,450
1609,0
1610,0
1611,0
1612,0
1613,500
1614,0
1615,0
1616,660
1617,800
1618,450
1619,1700
1620,850
1621,0
1622,1100
1623,425
1624,700
1625,1875
1626,200
1627,500
1628,834
1629,0
1630,1067
1631,0
1632,0
1633,0
1634,0
1635,0
1636,1000
1637,500
1638,718
1639,600
1640,0
1641,600
1642,0
1643,0
1644,2700
1645,700
1646,0
1647,0
1648,600
1649,1175
1650,435
1651,500
1652,1800
1653,650
1654,0
1655,1400
1656,725
1657,0
1658,700
1659,646
1660,1390
1661,0
1662,0
1663,500
1664,0
1665,0
1666,0
1667,0
1668,534
1669,1250
1670,0
1671,500
1672,0
1673,0
1674,0
1675,550
1676,920
1677,0
1678,0
1679,0
1680,800
1681,1200
1682,900
1683,1100
1684,1840
1685,0
1686,0
1687,0
1688,450
1689,1022
1690,910
1691,0
1692,1600
1693,0
1694,500
1695,1588
1696,718
1697,815
1698,600
1699,0
1700,710
1701,0
1702,600
1703,0
1704,0
1705,0
1706,212
1707,0
1708,1250
1709,1030
1710,650
1711,800
1712,0
1713,0
1714,0
1715,0
1716,0
1717,754
1718,1570
1719,1500
1721,710
1722,700
1723,700
1724,725
1725,2000
1726,450
1727,0
1728,715
1729,800
1730,0
1731,1050
1732,0
1733,250
1734,1280
1735,1700
1736,0
1737,0
1738,0
1739,665
1740,425
1741,550
1742,0
1743,0
1744,0
1745,725
1746,975
1747,0
1748,0
1749,0
1750,1300
1751,0
1752,0
1753,0
1754,1375
1755,1532
1756,0
1757,1800
1758,0
1759,425
1760,1000
1761,900
1762,1300
1763,750
1764,1000
1765,800
1766,750
1767,0
1768,850
1769,0
1770,1025
1771,745
1772,1100
1773,0
1774,959
1775,700
1776,600
1777,2038
1778,0
1779,609
1780,0
1781,0
1782,850
1783,940
1784,600
1785,500
1786,0
1787,1350
1788,560
1789,900
1790,0
1791,1100
1792,0
1793,0
1794,0
1795,1100
1796,700
1797,0
1798,500
1799,0
1800,1200
1801,900
1802,710
1803,0
1804,808
1805,1087
1806,750
1807,0
1808,500
1809,0
1810,450
1811,950
1812,950
1813,1950
1814,500
1815,850
1816,975
1817,0
1818,769
1819,1900
1820,0
1821,600
1822,0
1823,800
1824,0
1825,1240
1826,1600
1827,803
1828,750
1829,850
1830,400
1831,750
1832,545
1833,809
1834,0
1835,0
1836,850
1837,1325
1838,200
1839,600
1840,0
1841,1389
1842,600
1843,850
1844,780
1845,0
1846,0
1847,0
1848,0
1849,0
1850,2100
1851,0
1852,0
1853,0
1854,500
1855,700
1856,2123
1857,0
1858,1590
1859,550
1860,0
1861,0
1862,650
1863,0
1864,0
1865,875
1866,0
1867,700
1868,525
1869,900
1870,617
1871,0
1872,915
1873,3600
1874,1600
1875,0
1876,757
1877,0
1878,1600
1879,0
1880,1650
1881,0
1882,850
1883,550
1884,0
1885,0
1886,550
1887,600
1888,0
1889,1900
1890,855
1891,512
1892,0
1893,213
1894,0
1895,800
1896,663
1897,0
1898,920
1899,0
1900,0
1901,500
1902,450
1903,1548
1904,545
1905,500
1906,0
1907,0
1908,0
1909,1131
1910,0
1911,745
1912,600
1913,640
1914,0
1915,0
1916,650
1917,0
1918,0
1919,0
1920,0
1921,1829
1922,1100
1923,725
1924,0
1925,0
1926,1435
1927,327
1928,0
1929,1100
1930,0
1931,1200
1932,1850
1933,1200
1934,0
1935,0
1936,800
1937,2700
1938,0
1939,550
1940,972
1941,0
1942,2500
1943,0
1944,0
1945,0
1946,0
1947,800
1948,0
1949,1523
1950,0
1951,700
1952,0
1953,0
1954,1098
1955,850
1956,700
1957,700
1958,0
1959,825
1960,900
1961,0
1962,0
1963,7700
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,450
1971,1217
1972,935
1973,600
1974,0
1975,0
1976,1600
1977,968
1978,697
1979,900
1980,0
1981,1000
1982,600
1983,900
1984,740
1985,0
1986,905
1987,0
1988,600
1989,500
1990,0
1991,500
1992,1400
1993,953
1994,900
1995,530
1996,425
1997,1247
1998,213
1999,0
2000,0
2001,600
2002,0
2003,1017
2004,0
2005,916
2006,1600
2007,0
2010,0
2011,1005
2012,800
2013,425
2014,865
2015,0
2016,0
2017,0
2018,800
2019,0
2020,0
2021,2020
2022,450
2023,978
2024,0
2025,0
2026,1000
2027,550
2028,2350
2029,550
2030,0
2031,0
2032,350
2033,875
2034,0
2035,0
2036,0
2037,550
2038,2375
2039,706
2040,1883
2041,1684
2042,0
2043,900
2044,0
2045,0
2046,550
2047,700
2048,0
2049,0
2050,0
2051,0
2052,0
2053,0
2054,0
2055,1400
2056,475
2057,0
2058,0
2059,500
2060,0
2061,700
2062,0
2063,2211
2064,800
2065,425
2066,1750
2067,0
2068,500
2069,600
2070,600
2071,680
2072,0
2073,0
2074,0
2075,620
2076,0
2077,0
2078,700
2079,0
2080,0
2081,0
2082,720
2083,800
2084,0
2085,0
2086,0
2087,425
2088,729
2089,0
2090,0
2091,0
2092,755
2093,650
2094,700
2095,1800
2096,0
2097,0
2098,800
2099,0
2100,550
2101,1201
2102,885
2103,0
2104,0
2105,450
2106,2300
2107,0
2108,1198
2109,0
2110,0
2111,0
2112,1200
2113,450
2114,0
2115,0
2116,2000
2117,0
2118,0
2119,0
2120,2200
2121,0
2122,1050
2123,0
2124,425
2125,855
2126,1500
2127,0
2128,0
2129,1067
2130,0
2131,0
2132,0
2133,600
2134,550
2135,1980
2136,775
2137,0
2138,1568
2139,0
2140,0
2141,835
2142,0
2143,1900
2144,0
2145,0
2146,0
2147,0
2148,0
2149,800
2150,2100
2151,0
2152,0
2153,445
2154,9000
2155,1120
2156,1262
2157,1000
2158,0
2159,1919
2160,255
2161,900
2162,800
2163,0
2164,0
2165,0
2166,500
2167,0
2168,0
2169,665
2170,0
2171,790
2172,0
2173,715
2174,935
2175,0
2176,0
2177,0
2178,0
2179,0
2180,0
2181,1100
2182,525
2183,875
2184,400
2185,0
2186,850
2187,0
2188,1100
2189,500
2190,957
2191,1450
2192,6000
2193,600
2194,0
2195,0
2196,500
2197,800
2198,525
2199,690
2200,1800
2201,550
2202,1507
2203,645
2204,1050
2205,1675
2206,800
2207,2300
2208,0
2209,1400
2210,0
2211,2300
2212,0
2213,0
2214,472
2215,750
2216,0
2217,500
2218,213
2219,825
2220,0
2221,0
2222,900
2223,450
2224,834
2225,213
2226,1250
2227,755
2228,900
2229,0
2230,590
2231,800
2232,0
2233,0
2234,1800
2235,650
2236,1062
2237,1240
2238,700
2239,0
2240,0
2241,0
2242,1000
2243,0
2244,2532
2245,0
2246,920
2247,0
2248,475
2249,550
2250,0
2251,425
2252,799
2253,0
2254,730
2255,1260
2256,550
2257,500
2258,683
2259,2500
2260,425
2261,2200
2262,645
2263,0
2264,1875
2265,650
2266,450
2267,450
2268,0
2269,0
2270,0
2271,0
2272,1883
2273,0
2274,1000
2275,1800
2276,750
2277,0
2278,0
2279,0
2280,1500
2281,2100
2282,515
2283,0
2284,600
2285,500
2286,774
2287,500
2288,0
2289,525
2290,0
2291,0
2292,575
2293,825
2294,2500
2295,0
2296,600
2297,600
2298,0
2299,1000
2300,425
2301,0
2302,1575
2303,0
2304,925
2305,1000
2306,0
2307,1000
2308,0
2309,0
2310,0
2311,0
2312,952
2313,0
2314,575
2315,485
2316,1414
2317,700
2318,800
2319,0
2320,800
2321,0
2322,0
2323,0
2324,0
2325,1100
2326,0
2327,0
2328,0
2329,900
2330,0
2331,1581
2332,0
2333,0
2334,1870
2335,0
2336,800
2337,0
2338,1800
2339,3200
2340,0
2341,900
2342,0
2343,2500
2344,0
2345,770
2346,0
2347,0
2348,1300
2349,1800
2350,1400
2351,0
2352,435
2353,0
2354,786
2355,1485
2356,6009
2357,1490
2358,0
2359,0
2360,0
2361,500
2362,942
2363,600
2364,956
2365,0
2366,0
2367,0
2368,540
2369,0
2370,600
2371,500
2372,985
2373,0
2374,0
2375,450
2376,600
2377,1280
2378,575
2379,1300
2380,800
2381,953
2382,1102
2383,0
2384,1000
2385,900
2386,1575
2387,0
2388,1866
2389,0
2390,984
2391,0
2392,550
2393,0
2394,967
2395,650
2396,2026
2397,1710
2398,1020
2399,1200
2400,0
2401,0
2402,1100
2403,721
2404,900
2405,900
2406,715
2407,687
2408,500
2409,718
2410,1250
2411,0
2412,500
2413,500
2414,0
2415,0
2416,1425
2417,800
2418,0
2419,0
2420,700
2421,500
2422,300
2423,0
2424,0
2425,700
2426,0
2427,465
2428,525
2429,800
2430,600
2431,976
2432,1600
2433,0
2434,1950
2435,0
2436,1100
2437,0
2438,6500
2439,675
2440,1142
2441,0
2442,800
2443,0
2444,475
2445,465
2446,1400
2447,800
2448,700
2449,575
2450,0
2451,0
2452,0
2453,500
2454,725
2455,0
2456,1200
2457,0
2458,900
2459,1500
2460,0
2461,1800
2462,600
2463,1375
2464,3000
2465,1811
2466,0
2467,0
2468,0
2469,425
2470,0
2471,0
2472,700
2473,0
2474,0
2475,0
2476,0
2477,500
2478,0
2479,1335
2480,700
2481,0
2482,470
2483,0
2484,650
2485,865
2486,1400
2487,550
2488,0
2489,0
2490,700
2491,0
2492,1100
2493,820
2494,0
2495,450
2496,886
2497,1400
2498,1000
2499,900
2500,435
2501,600
2502,825
2503,0
2504,1350
2505,1400
2506,915
2507,1550
2508,740
2509,0
2510,0
2511,0
2512,0
2513,775
2514,2200
2515,0
2516,2141
2517,1200
2518,0
2519,1500
2520,800
2521,750
2522,850
2523,550
2524,0
2525,0
2526,890
2527,0
2528,770
2529,550
2530,750
2531,0
2532,910
2533,650
2534,1300
2535,0
2536,1100
2537,1600
2538,0
2539,0
2540,425
2541,0
2542,0
2543,800
2544,0
2545,700
2546,495
2547,800
2548,425
2549,0
2550,0
2551,1050
2552,964
2553,0
2554,0
2555,0
2556,510
2557,0
2558,550
2559,0
2560,500
2561,0
2562,425
2563,0
2564,1200
2565,1784
2566,500
2567,0
2568,0
2569,0
2570,750
2571,0
2572,1200
2573,0
2574,0
2575,425
2576,0
2577,800
2578,0
2579,0
2580,0
2581,1700
2582,575
2583,0
2584,1700
2585,850
2586,0
2587,0
2588,0
2589,0
2590,1200
2591,1600
2592,600
2593,0
2594,570
2595,1550
2596,0
2597,0
2598,0
2599,0
2600,0
2601,0
2602,1450
2603,0
2604,0
2605,750
2606,0
2607,425
2608,1600
2609,1100
2610,525
2611,500
2612,1125
2613,600
2614,750
2615,0
2616,1350
2617,1225
2618,0
2619,0
2620,0
2621,1243
2622,0
2623,1042
2624,0
2625,1300
2626,836
2627,0
2628,900
2629,0
2630,800
2631,650
2632,300
2633,860
2634,730
2635,1000
2636,0
2637,0
2638,0
2639,500
2640,0
2641,0
2642,550
2643,0
2644,550
2645,0
2646,0
2647,550
2648,425
2649,800
2650,0
2651,0
2652,425
2653,0
2654,950
2655,425
2656,1713
2657,1950
2658,0
2659,754
2660,0
2661,0
2662,600
2663,1365
2664,979
2665,1700
2666,1790
2667,900
2668,0
2669,750
2670,2500
2671,901
2672,1968
2673,600
2674,425
2675,550
2676,0
2678,1100
2679,1200
2680,650
2681,983
2682,800
2683,1400
2684,710
2685,0
2686,0
2687,500
2688,550
2689,0
2690,650
2691,1600
2692,1070
2693,1000
2694,600
2695,0
2696,652
2697,0
2698,0
2699,0
2700,208
2701,1435
2702,0
2703,500
2704,0
2705,500
2706,1200
2707,600
2708,0
2709,1200
2710,1700
2711,650
2712,450
2713,650
2714,0
2715,700
2716,1000
2717,1200
2718,575
2719,0
2720,0
2721,475
2722,940
2723,830
2724,0
2725,0
2726,900
2727,1360
2728,700
2729,0
2730,0
2731,0
2732,0
2733,0
2734,0
2735,1021
2736,425
2737,1919
2738,0
2739,525
2740,0
2741,800
2742,0
2743,0
2744,0
2745,0
2746,1075
2747,0
2748,0
2749,650
2750,0
2751,1000
2752,0
2753,770
2754,1928
2755,1550
2756,700
2757,0
2758,0
2759,500
2760,0
2761,1650
2762,0
2763,2000
2764,0
2765,0
2766,823
2767,0
2768,650
2769,525
2770,0
2771,1162
2772,1070
2773,700
2774,1575
2775,525
2776,800
2777,200
2778,755
2779,0
2780,4000
2781,0
2782,1700
2783,0
2784,1800
2785,0
2786,825
2787,550
2788,220
2789,719
2790,0
2791,0
2792,0
2793,1600
2794,425
2795,0
2796,575
2797,1473
2798,1200
2799,0
2800,0
2801,0
2802,1650
2803,1600
2804,0
2805,0
2806,0
2807,400
2808,475
2809,0
2810,0
2811,425
2812,700
2813,1100
2814,941
2815,0
2816,640
2817,0
2818,0
2819,700
2820,960
2821,1000
2822,850
2823,900
2824,0
2825,1100
2826,600
2827,450
2828,796
2829,0
2830,0
2831,1000
2832,0
2833,1900
2834,450
2835,990
2836,1030
2837,1532
2838,0
2839,800
2840,0
2841,0
2842,1079
2843,1255
2844,680
2845,703
2846,0
2847,0
2848,0
2849,0
2850,200
2851,715
2852,0
2853,0
2854,0
2855,700
2856,1600
2857,0
2858,0
2859,465
2860,0
2861,0
2862,0
2863,0
2864,600
2865,0
2866,1310
2867,0
2868,0
2869,700
2870,0
2871,0
2872,700
2873,500
2874,500
2875,0
2876,0
2877,0
2878,0
2879,0
2880,0
2881,0
2882,0
2883,1160
2884,0
2885,1100
2886,0
2887,475
2888,2100
2889,0
2890,625
2891,1000
2892,2700
2893,700
